Year,Quarter,Month,Day,COUNTRY,CUSTOMER_ID,CUSTOMER_UNIQUE_KEY,Female %,Full Name,FIRST_NAME,GENDER,LAST_NAME,Male %,profit,Repeat Purchase Rate,Total Female Customers,Total Male Customers
1970,Qtr 4,November,9,Australia,16674,AW00016674,,Ricardo Yuan,Ricardo,Male,Yuan,100,48,100,,1
1970,Qtr 4,November,9,Australia,25057,AW00025057,,Jerome Gomez,Jerome,Male,Gomez,100,1816,100,,1
1970,Qtr 4,November,9,Canada,19232,AW00019232,100,Candice Chow,Candice,Female,Chow,,39,100,1,
1970,Qtr 4,November,9,Canada,28630,AW00028630,,Jack Zimmerman,Jack,Male,Zimmerman,100,1407,,,1
1970,Qtr 4,November,9,France,23913,AW00023913,100,Riley Cooper,Riley,Female,Cooper,,30,100,1,
1970,Qtr 4,November,9,Germany,12479,AW00012479,100,Priscilla Tang,Priscilla,Female,Tang,,4306,100,1,
1970,Qtr 4,November,9,Germany,20916,AW00020916,100,Kathleen Carlson,Kathleen,Female,Carlson,,145,100,1,
1970,Qtr 4,November,9,United Kingdom,18012,AW00018012,100,Karen Zhu,Karen,Female,Zhu,,16,100,1,
1970,Qtr 4,November,9,United States,15937,AW00015937,100,Grace Lewis,Grace,Female,Lewis,,3170,100,1,
1970,Qtr 4,November,9,United States,18518,AW00018518,100,Stephanie Scott,Stephanie,Female,Scott,,2413,100,1,
1970,Qtr 4,November,9,United States,18591,AW00018591,,Eduardo Nelson,Eduardo,Male,Nelson,100,98,100,,1
1970,Qtr 4,November,9,United States,23292,AW00023292,,Jose Russell,Jose,Male,Russell,100,22,100,,1
1970,Qtr 4,November,9,United States,28187,AW00028187,,Aaron Chen,Aaron,Male,Chen,100,72,100,,1
1970,Qtr 4,November,13,Australia,20254,AW00020254,100,Dana Gutierrez,Dana,Female,Gutierrez,,85,100,1,
1970,Qtr 4,November,13,United Kingdom,20172,AW00020172,100,Kelli Gao,Kelli,Female,Gao,,2821,100,1,
1970,Qtr 4,November,13,United States,19824,AW00019824,,Jordan Perry,Jordan,Male,Perry,100,361,100,,1
1970,Qtr 4,November,17,Germany,13789,AW00013789,100,Julie Shan,Julie,Female,Shan,,1810,100,1,
1970,Qtr 4,November,18,Australia,15599,AW00015599,,Darryl Ma,Darryl,Male,Ma,100,98,100,,1
1970,Qtr 4,November,18,France,25471,AW00025471,,Spencer Ross,Spencer,Male,Ross,100,72,100,,1
1970,Qtr 4,November,18,Germany,29374,AW00029374,,Shane Sai,Shane,Male,Sai,100,281,,,1
1970,Qtr 4,November,23,Australia,23128,AW00023128,,Dylan Jai,Dylan,Male,Jai,100,72,100,,1
1970,Qtr 4,November,23,France,28402,AW00028402,100,Kristin Kumar,Kristin,Female,Kumar,,93,100,1,
1970,Qtr 4,November,23,United Kingdom,15058,AW00015058,,Julio Suarez,Julio,Male,Suarez,100,4084,100,,1
1970,Qtr 4,November,23,United Kingdom,17798,AW00017798,100,Robin Ortega,Robin,Female,Ortega,,1259,100,1,
1970,Qtr 4,November,23,United Kingdom,24073,AW00024073,100,Grace Taylor,Grace,Female,Taylor,,43,100,1,
1970,Qtr 4,November,23,United States,13911,AW00013911,100,Andrea Kelly,Andrea,Female,Kelly,,4168,100,1,
1970,Qtr 4,November,23,United States,18954,AW00018954,,Dalton Young,Dalton,Male,Young,100,405,100,,1
1970,Qtr 4,November,23,United States,21937,AW00021937,100,Morgan Ross,Morgan,Female,Ross,,1037,100,1,
1970,Qtr 4,November,30,Australia,23536,AW00023536,100,Savannah Adams,Savannah,Female,Adams,,72,100,1,
1970,Qtr 4,November,30,Australia,24469,AW00024469,,Roger Andersen,Roger,Male,Andersen,100,100,100,,1
1970,Qtr 4,November,30,United States,16144,AW00016144,,Patrick Kelly,Patrick,Male,Kelly,100,2487,100,,1
1970,Qtr 4,November,30,United States,16885,AW00016885,,Garrett Cook,Garrett,Male,Cook,100,72,100,,1
1970,Qtr 4,November,30,United States,28358,AW00028358,,Austin Powell,Austin,Male,Powell,100,3,,,1
1970,Qtr 4,December,1,Australia,26755,AW00026755,,Brendan Jai,Brendan,Male,Jai,100,56,100,,1
1970,Qtr 4,December,1,Canada,13418,AW00013418,,Devin Cox,Devin,Male,Cox,100,3314,100,,1
1970,Qtr 4,December,1,United Kingdom,14964,AW00014964,,Damien Shen,Damien,Male,Shen,100,81,100,,1
1970,Qtr 4,December,1,United Kingdom,22422,AW00022422,100,Nichole Black,Nichole,Female,Black,,687,100,1,
1970,Qtr 4,December,1,United States,16249,AW00016249,,Jesse Rivera,Jesse,Male,Rivera,100,9,100,,1
1970,Qtr 4,December,1,United States,24398,AW00024398,,Brandon Davis,Brandon,Male,Davis,100,27,100,,1
1970,Qtr 4,December,2,United Kingdom,13805,AW00013805,,Gabriel Hernandez,Gabriel,Male,Hernandez,100,19,100,,1
1970,Qtr 4,December,2,United States,24396,AW00024396,100,Robyn Navarro,Robyn,Female,Navarro,,25,100,1,
1970,Qtr 4,December,3,Australia,28534,AW00028534,100,Sabrina Romero,Sabrina,Female,Romero,,236,100,1,
1970,Qtr 4,December,3,Canada,26279,AW00026279,100,Trinity Sanchez,Trinity,Female,Sanchez,,1722,100,1,
1970,Qtr 4,December,3,Germany,28499,AW00028499,100,Lydia Srini,Lydia,Female,Srini,,303,100,1,
1970,Qtr 4,December,5,United States,22276,AW00022276,100,Gabriella Gray,Gabriella,Female,Gray,,293,100,1,
1970,Qtr 4,December,7,Australia,15800,AW00015800,,Alberto Serrano,Alberto,Male,Serrano,100,4298,100,,1
1970,Qtr 4,December,7,Germany,21075,AW00021075,,Manuel Rana,Manuel,Male,Rana,100,37,100,,1
1970,Qtr 4,December,7,United Kingdom,12599,AW00012599,100,Jillian Fernandez,Jillian,Female,Fernandez,,4837,100,1,
1970,Qtr 4,December,7,United States,24758,AW00024758,100,Gabriella Adams,Gabriella,Female,Adams,,22,100,1,
1970,Qtr 4,December,8,Australia,18718,AW00018718,100,Susan Liu,Susan,Female,Liu,,3660,100,1,
1970,Qtr 4,December,8,France,22489,AW00022489,,Roger Xie,Roger,Male,Xie,100,22,100,,1
1970,Qtr 4,December,8,United Kingdom,26836,AW00026836,,Hector Diaz,Hector,Male,Diaz,100,72,100,,1
1970,Qtr 4,December,8,United States,24827,AW00024827,,Alexander Martinez,Alexander,Male,Martinez,100,22,100,,1
1970,Qtr 4,December,9,Australia,11913,AW00011913,100,Rebecca Robinson,Rebecca,Female,Robinson,,29,100,1,
1970,Qtr 4,December,9,Australia,24470,AW00024470,,Clarence Lal,Clarence,Male,Lal,100,72,100,,1
1970,Qtr 4,December,9,United States,22718,AW00022718,,Zachary Simmons,Zachary,Male,Simmons,100,281,100,,1
1970,Qtr 4,December,10,Australia,17317,AW00017317,100,Stacey Zeng,Stacey,Female,Zeng,,154,100,1,
1970,Qtr 4,December,10,United States,21932,AW00021932,,Leonard Kumar,Leonard,Male,Kumar,100,1053,100,,1
1970,Qtr 4,December,10,United States,28237,AW00028237,100,Hailey Foster,Hailey,Female,Foster,,21,100,1,
1970,Qtr 4,December,11,Germany,16271,AW00016271,100,Michele Gutierrez,Michele,Female,Gutierrez,,1192,100,1,
1970,Qtr 4,December,11,United States,18596,AW00018596,100,Gabriella Cooper,Gabriella,Female,Cooper,,700,100,1,
1970,Qtr 4,December,11,United States,21936,AW00021936,100,Emma Reed,Emma,Female,Reed,,132,100,1,
1970,Qtr 4,December,15,France,25469,AW00025469,100,Martha Wu,Martha,Female,Wu,,72,100,1,
1970,Qtr 4,December,15,United Kingdom,22653,AW00022653,100,Carolyn Dominguez,Carolyn,Female,Dominguez,,1049,100,1,
1970,Qtr 4,December,17,Australia,21209,AW00021209,,Randall Moreno,Randall,Male,Moreno,100,25,100,,1
1970,Qtr 4,December,17,Canada,11835,AW00011835,,Elijah Russell,Elijah,Male,Russell,100,3385,100,,1
1970,Qtr 4,December,17,Germany,13790,AW00013790,100,Nina Deng,Nina,Female,Deng,,1810,100,1,
1970,Qtr 4,December,17,United States,15520,AW00015520,100,Desiree Navarro,Desiree,Female,Navarro,,1186,100,1,
1970,Qtr 4,December,17,United States,16839,AW00016839,100,Julia Ross,Julia,Female,Ross,,2378,100,1,
1970,Qtr 4,December,20,Canada,28354,AW00028354,,Ian Wilson,Ian,Male,Wilson,100,1407,,,1
1970,Qtr 4,December,20,United States,20022,AW00020022,100,Arthur Perry,Arthur,Female,Perry,,98,100,1,
1970,Qtr 4,December,21,Australia,16181,AW00016181,100,Daisy Rubio,Daisy,Female,Rubio,,155,100,1,
1970,Qtr 4,December,21,Australia,24379,AW00024379,,Noah Jenkins,Noah,Male,Jenkins,100,9,100,,1
1970,Qtr 4,December,21,Australia,25128,AW00025128,,Clifford Sai,Clifford,Male,Sai,100,85,100,,1
1970,Qtr 4,December,21,Germany,12493,AW00012493,,Dwayne Vazquez,Dwayne,Male,Vazquez,100,91,100,,1
1970,Qtr 4,December,21,United States,13419,AW00013419,100,Lauren Coleman,Lauren,Female,Coleman,,4100,100,1,
1970,Qtr 4,December,21,United States,13421,AW00013421,100,Alyssa Patterson,Alyssa,Female,Patterson,,15,100,1,
1970,Qtr 4,December,22,Canada,20023,AW00020023,,Edward Hughes,Edward,Male,Hughes,100,2574,100,,1
1970,Qtr 4,December,22,Germany,23925,AW00023925,100,Marie Torres,Marie,Female,Torres,,2253,100,1,
1970,Qtr 4,December,22,United States,14442,AW00014442,100,Shelby Peterson,Shelby,Female,Peterson,,3260,100,1,
1970,Qtr 4,December,22,United States,25153,AW00025153,,Ryan Coleman,Ryan,Male,Coleman,100,121,100,,1
1970,Qtr 4,December,24,Canada,29351,AW00029351,,Jason Hall,Jason,Male,Hall,100,98,100,,1
1970,Qtr 4,December,24,France,21090,AW00021090,,Thomas Garcia,Thomas,Male,Garcia,100,202,100,,1
1970,Qtr 4,December,24,United States,26344,AW00026344,100,Natalie Hughes,Natalie,Female,Hughes,,2167,100,1,
1970,Qtr 4,December,30,Australia,14061,AW00014061,100,Naomi Torres,Naomi,Female,Torres,,74,100,1,
1970,Qtr 4,December,30,United States,23464,AW00023464,,Devin Turner,Devin,Male,Turner,100,19,,,1
1970,Qtr 4,December,31,United States,18593,AW00018593,100,Sydney Martinez,Sydney,Female,Martinez,,44,,1,
1970,Qtr 4,December,31,United States,28360,AW00028360,,Isaiah Adams,Isaiah,Male,Adams,100,4,100,,1
1971,Qtr 1,January,1,United States,25436,AW00025436,100,Destiny Ross,Destiny,Female,Ross,,478,100,1,
1971,Qtr 1,January,4,Germany,12826,AW00012826,,Caleb Gonzalez,Caleb,Male,Gonzalez,100,4333,100,,1
1971,Qtr 1,January,4,United States,28238,AW00028238,,Dalton Flores,Dalton,Male,Flores,100,13,,,1
1971,Qtr 1,January,7,Canada,28283,AW00028283,100,Rachel Long,Rachel,Female,Long,,72,100,1,
1971,Qtr 1,January,7,Germany,16539,AW00016539,100,Christy Li,Christy,Female,Li,,31,100,1,
1971,Qtr 1,January,7,United States,19143,AW00019143,100,Lauren Long,Lauren,Female,Long,,282,100,1,
1971,Qtr 1,January,7,United States,25091,AW00025091,,Jessie Zeng,Jessie,Male,Zeng,100,24,100,,1
1971,Qtr 1,January,7,United States,26345,AW00026345,,Connor Baker,Connor,Male,Baker,100,44,100,,1
1971,Qtr 1,January,11,Australia,21991,AW00021991,100,Teresa Gill,Teresa,Female,Gill,,136,100,1,
1971,Qtr 1,January,11,Germany,19333,AW00019333,100,Candace Malhotra,Candace,Female,Malhotra,,22,100,1,
1971,Qtr 1,January,11,Germany,23912,AW00023912,,Arthur Sanchez,Arthur,Male,Sanchez,100,3,,,1
1971,Qtr 1,January,11,United States,12146,AW00012146,,Xavier Thomas,Xavier,Male,Thomas,100,202,100,,1
1971,Qtr 1,January,12,Germany,12827,AW00012827,,Nicolas Raje,Nicolas,Male,Raje,100,4401,100,,1
1971,Qtr 1,January,12,United States,17608,AW00017608,,Carlos Cooper,Carlos,Male,Cooper,100,618,,,1
1971,Qtr 1,January,12,United States,25431,AW00025431,100,Ann Sanchez,Ann,Female,Sanchez,,93,100,1,
1971,Qtr 1,January,12,United States,26813,AW00026813,,Xavier Diaz,Xavier,Male,Diaz,100,49,100,,1
1971,Qtr 1,January,12,United States,29348,AW00029348,,Miguel Bryant,Miguel,Male,Bryant,100,72,100,,1
1971,Qtr 1,January,14,United Kingdom,11574,AW00011574,100,Karla Luo,Karla,Female,Luo,,69,100,1,
1971,Qtr 1,January,14,United States,21633,AW00021633,,Cameron Zhang,Cameron,Male,Zhang,100,40,100,,1
1971,Qtr 1,January,14,United States,25439,AW00025439,100,Janelle Arthur,Janelle,Female,Arthur,,93,100,1,
1971,Qtr 1,January,17,Australia,18256,AW00018256,,Gilbert Cai,Gilbert,Male,Cai,100,157,100,,1
1971,Qtr 1,January,17,Canada,13908,AW00013908,100,Alyssa Diaz,Alyssa,Female,Diaz,,3302,100,1,
1971,Qtr 1,January,17,Canada,27757,AW00027757,,Bobby Van,Bobby,Male,Van,100,65,100,,1
1971,Qtr 1,January,17,Germany,29398,AW00029398,,Bruce Suri,Bruce,Male,Suri,100,1712,100,,1
1971,Qtr 1,January,18,Australia,28717,AW00028717,,Calvin Anand,Calvin,Male,Anand,100,31,100,,1
1971,Qtr 1,January,18,Canada,12944,AW00012944,,Jose Jai,Jose,Male,Jai,100,84,100,,1
1971,Qtr 1,January,18,United States,11721,AW00011721,100,Jennifer Alexander,Jennifer,Female,Alexander,,47,100,1,
1971,Qtr 1,January,18,United States,16990,AW00016990,,Zachary Griffin,Zachary,Male,Griffin,100,37,100,,1
1971,Qtr 1,January,19,Germany,17818,AW00017818,,Dale Yuan,Dale,Male,Yuan,100,3,,,1
1971,Qtr 1,January,19,Germany,25487,AW00025487,100,Allison Rogers,Allison,Female,Rogers,,19,100,1,
1971,Qtr 1,January,19,United States,23894,AW00023894,,Bryan Ramirez,Bryan,Male,Ramirez,100,91,100,,1
1971,Qtr 1,January,30,Australia,13122,AW00013122,100,Catherine Cox,Catherine,Female,Cox,,5312,100,1,
1971,Qtr 1,January,30,Canada,24832,AW00024832,100,Morgan Martin,Morgan,Female,Martin,,1722,100,1,
1971,Qtr 1,January,30,France,12843,AW00012843,100,Summer Smith,Summer,Female,Smith,,3886,100,1,
1971,Qtr 1,January,30,France,25639,AW00025639,,Russell Lal,Russell,Male,Lal,100,469,100,,1
1971,Qtr 1,January,30,United States,13420,AW00013420,100,Jordan Turner,Jordan,Female,Turner,,3397,100,1,
1971,Qtr 1,January,30,United States,14437,AW00014437,,Mitchell Anand,Mitchell,Male,Anand,100,14,,,1
1971,Qtr 1,January,30,United States,14439,AW00014439,,Brian Cox,Brian,Male,Cox,100,3176,100,,1
1971,Qtr 1,January,31,Australia,17299,AW00017299,100,Jaclyn Ferrier,Jaclyn,Female,Ferrier,,1825,100,1,
1971,Qtr 1,February,1,United States,18587,AW00018587,100,Monica Arun,Monica,Female,Arun,,44,,1,
1971,Qtr 1,February,1,United States,20016,AW00020016,100,Katherine Kelly,Katherine,Female,Kelly,,65,100,1,
1971,Qtr 1,February,1,United States,24351,AW00024351,,Brandon Yang,Brandon,Male,Yang,100,911,100,,1
1971,Qtr 1,February,4,France,16430,AW00016430,,Franklin Rai,Franklin,Male,Rai,100,3975,100,,1
1971,Qtr 1,February,4,United Kingdom,16272,AW00016272,,Raul Deng,Raul,Male,Deng,100,2115,100,,1
1971,Qtr 1,February,4,United Kingdom,24187,AW00024187,100,Daisy Serrano,Daisy,Female,Serrano,,1097,100,1,
1971,Qtr 1,February,4,United States,11878,AW00011878,100,Christine Nara,Christine,Female,Nara,,99,100,1,
1971,Qtr 1,February,4,United States,22102,AW00022102,,Eduardo Cox,Eduardo,Male,Cox,100,76,100,,1
1971,Qtr 1,February,4,United States,29210,AW00029210,,Devin Peterson,Devin,Male,Peterson,100,17,100,,1
1971,Qtr 1,February,8,Australia,28117,AW00028117,,Craig Vazquez,Craig,Male,Vazquez,100,212,100,,1
1971,Qtr 1,February,8,n/a,21485,AW00021485,,Brandon Clark,Brandon,Male,Clark,100,1047,100,,1
1971,Qtr 1,February,8,United Kingdom,17936,AW00017936,100,Tonya Deng,Tonya,Female,Deng,,88,100,1,
1971,Qtr 1,February,8,United Kingdom,19940,AW00019940,100,Rosa Ye,Rosa,Female,Ye,,3267,100,1,
1971,Qtr 1,February,8,United Kingdom,25785,AW00025785,,Jackson Edwards,Jackson,Male,Edwards,100,3,,,1
1971,Qtr 1,February,8,United States,12766,AW00012766,100,Jordyn Bryant,Jordyn,Female,Bryant,,1847,100,1,
1971,Qtr 1,February,8,United States,23195,AW00023195,,Xavier Mohamed,Xavier,Male,Mohamed,100,328,100,,1
1971,Qtr 1,February,8,United States,23200,AW00023200,100,Grace Rodriguez,Grace,Female,Rodriguez,,105,100,1,
1971,Qtr 1,February,8,United States,25432,AW00025432,100,Kellie Gomez,Kellie,Female,Gomez,,529,100,1,
1971,Qtr 1,February,8,United States,29273,AW00029273,,Timothy Lopez,Timothy,Male,Lopez,100,100,100,,1
1971,Qtr 1,February,8,United States,29352,AW00029352,100,Lydia Gonzalez,Lydia,Female,Gonzalez,,1407,,1,
1971,Qtr 1,February,9,Australia,11002,AW00011002,,Ruben Torres,Ruben,Male,Torres,100,4837,100,,1
1971,Qtr 1,February,9,Australia,24373,AW00024373,,Steven Reed,Steven,Male,Reed,100,17,100,,1
1971,Qtr 1,February,9,France,25473,AW00025473,100,Kristin Goel,Kristin,Female,Goel,,3,,1,
1971,Qtr 1,February,10,Australia,29320,AW00029320,,Wesley Huang,Wesley,Male,Huang,100,15,100,,1
1971,Qtr 1,February,10,France,26841,AW00026841,,Roberto Jiménez,Roberto,Male,Jiménez,100,99,100,,1
1971,Qtr 1,February,10,n/a,21326,AW00021326,100,Andrea Green,Andrea,Female,Green,,1125,100,1,
1971,Qtr 1,February,10,United Kingdom,17819,AW00017819,,Arthur Rana,Arthur,Male,Rana,100,3,,,1
1971,Qtr 1,February,10,United States,24425,AW00024425,100,Chloe Ward,Chloe,Female,Ward,,971,100,1,
1971,Qtr 1,February,10,United States,26104,AW00026104,,Timothy Edwards,Timothy,Male,Edwards,100,142,100,,1
1971,Qtr 1,February,11,Australia,19578,AW00019578,,Max Rubio,Max,Male,Rubio,100,35,100,,1
1971,Qtr 1,February,11,Canada,14606,AW00014606,100,Amanda Cooper,Amanda,Female,Cooper,,3303,100,1,
1971,Qtr 1,February,11,Germany,17796,AW00017796,,Eduardo Taylor,Eduardo,Male,Taylor,100,2377,100,,1
1971,Qtr 1,February,11,Germany,17989,AW00017989,100,Tiffany Sun,Tiffany,Female,Sun,,2394,100,1,
1971,Qtr 1,February,11,United States,16102,AW00016102,,Marcus Alexander,Marcus,Male,Alexander,100,263,100,,1
1971,Qtr 1,February,15,Australia,15217,AW00015217,,Ethan Jai,Ethan,Male,Jai,100,26,100,,1
1971,Qtr 1,February,15,Australia,21984,AW00021984,100,Kristy Suarez,Kristy,Female,Suarez,,1562,100,1,
1971,Qtr 1,February,15,France,14798,AW00014798,100,Colleen Nara,Colleen,Female,Nara,,2125,100,1,
1971,Qtr 1,February,15,France,22485,AW00022485,,Andy Suarez,Andy,Male,Suarez,100,14,100,,1
1971,Qtr 1,February,15,United Kingdom,12603,AW00012603,,Cole Reed,Cole,Male,Reed,100,112,100,,1
1971,Qtr 1,February,15,United Kingdom,24186,AW00024186,,Theodore Alonso,Theodore,Male,Alonso,100,1045,100,,1
1971,Qtr 1,February,15,United States,12189,AW00012189,100,Sophia Wright,Sophia,Female,Wright,,3833,100,1,
1971,Qtr 1,February,18,Australia,27146,AW00027146,,Danny Hernandez,Danny,Male,Hernandez,100,94,100,,1
1971,Qtr 1,February,18,United States,21628,AW00021628,100,Kelli Xu,Kelli,Female,Xu,,30,100,1,
1971,Qtr 1,February,22,United States,13277,AW00013277,,Nathan Brown,Nathan,Male,Brown,100,4114,100,,1
1971,Qtr 1,February,22,United States,24826,AW00024826,,Richard Powell,Richard,Male,Powell,100,121,100,,1
1971,Qtr 1,February,22,United States,27559,AW00027559,100,Emily Rodriguez,Emily,Female,Rodriguez,,1886,100,1,
1971,Qtr 1,February,24,Australia,18288,AW00018288,100,Daisy Suarez,Daisy,Female,Suarez,,3744,100,1,
1971,Qtr 1,February,24,Australia,18289,AW00018289,100,Jaclyn Raji,Jaclyn,Female,Raji,,63,100,1,
1971,Qtr 1,February,24,Australia,19579,AW00019579,100,Dawn Zheng,Dawn,Female,Zheng,,31,100,1,
1971,Qtr 1,February,24,Australia,20229,AW00020229,,Austin Walker,Austin,Male,Walker,100,91,100,,1
1971,Qtr 1,February,24,Australia,21992,AW00021992,,Alejandro Zhang,Alejandro,Male,Zhang,100,115,100,,1
1971,Qtr 1,February,24,Australia,26756,AW00026756,100,Brooke Gray,Brooke,Female,Gray,,53,100,1,
1971,Qtr 1,February,24,Germany,29377,AW00029377,100,Rebekah Carlson,Rebekah,Female,Carlson,,21,100,1,
1971,Qtr 1,February,24,United States,13275,AW00013275,,Carlos Murphy,Carlos,Male,Murphy,100,14,,,1
1971,Qtr 1,February,24,United States,17537,AW00017537,100,Courtney Mitchell,Courtney,Female,Mitchell,,2404,100,1,
1971,Qtr 1,February,24,United States,25099,AW00025099,100,Melanie Hayes,Melanie,Female,Hayes,,529,100,1,
1971,Qtr 1,March,1,United States,17610,AW00017610,100,Anna White,Anna,Female,White,,72,100,1,
1971,Qtr 1,March,1,United States,23887,AW00023887,,Mason Carter,Mason,Male,Carter,100,202,100,,1
1971,Qtr 1,March,4,Australia,19580,AW00019580,,Eddie Sanz,Eddie,Male,Sanz,100,69,100,,1
1971,Qtr 1,March,4,Canada,14436,AW00014436,,John Martin,John,Male,Martin,100,3398,100,,1
1971,Qtr 1,March,4,France,14946,AW00014946,,Frederick Vance,Frederick,Male,Vance,100,2050,100,,1
1971,Qtr 1,March,4,France,26368,AW00026368,,Bharat Mirchandani,Bharat,Male,Mirchandani,100,12,,,1
1971,Qtr 1,March,4,Germany,23910,AW00023910,,Gabriel Perry,Gabriel,Male,Perry,100,4,100,,1
1971,Qtr 1,March,4,United Kingdom,19347,AW00019347,,Alvin Zhao,Alvin,Male,Zhao,100,17,100,,1
1971,Qtr 1,March,6,Australia,15218,AW00015218,,Willie Johnsen,Willie,Male,Johnsen,100,4298,100,,1
1971,Qtr 1,March,6,Germany,29375,AW00029375,,Sergio Malhotra,Sergio,Male,Malhotra,100,290,100,,1
1971,Qtr 1,March,6,United States,11689,AW00011689,,Ian Diaz,Ian,Male,Diaz,100,34,100,,1
1971,Qtr 1,March,6,United States,20476,AW00020476,100,Destiny Long,Destiny,Female,Long,,2293,100,1,
1971,Qtr 1,March,6,United States,21632,AW00021632,100,Jaclyn Liang,Jaclyn,Female,Liang,,9,100,1,
1971,Qtr 1,March,6,United States,23193,AW00023193,100,Alexis Flores,Alexis,Female,Flores,,20,100,1,
1971,Qtr 1,March,8,Canada,24824,AW00024824,100,Alexandria Wood,Alexandria,Female,Wood,,1722,100,1,
1971,Qtr 1,March,8,United States,22273,AW00022273,100,Patricia Rodriguez,Patricia,Female,Rodriguez,,265,100,1,
1971,Qtr 1,March,8,United States,24830,AW00024830,100,Alexandra Cox,Alexandra,Female,Cox,,121,100,1,
1971,Qtr 1,March,8,United States,26812,AW00026812,,James Hernandez,James,Male,Hernandez,100,49,100,,1
1971,Qtr 1,March,9,United Kingdom,29376,AW00029376,,Matthew Robinson,Matthew,Male,Robinson,100,13,,,1
1971,Qtr 1,March,9,United States,18592,AW00018592,100,Mackenzie Evans,Mackenzie,Female,Evans,,2378,100,1,
1971,Qtr 1,March,9,United States,23198,AW00023198,100,Jacqueline Sanders,Jacqueline,Female,Sanders,,22,100,1,
1971,Qtr 1,March,10,n/a,20693,AW00020693,,Zachary Perry,Zachary,Male,Perry,100,1097,100,,1
1971,Qtr 1,March,10,United Kingdom,14143,AW00014143,100,Jill Sandoval,Jill,Female,Sandoval,,63,100,1,
1971,Qtr 1,March,10,United States,21924,AW00021924,,Eduardo Cook,Eduardo,Male,Cook,100,1028,100,,1
1971,Qtr 1,March,11,n/a,20688,AW00020688,,Steven Ramirez,Steven,Male,Ramirez,100,21,100,,1
1971,Qtr 1,March,11,United States,22281,AW00022281,100,Alexia Diaz,Alexia,Female,Diaz,,196,,1,
1971,Qtr 1,March,11,United States,29354,AW00029354,,Isaiah Edwards,Isaiah,Male,Edwards,100,1407,,,1
1971,Qtr 1,March,14,Australia,26773,AW00026773,100,Meghan Martin,Meghan,Female,Martin,,44,,1,
1971,Qtr 1,March,14,Australia,27702,AW00027702,,Darryl Lu,Darryl,Male,Lu,100,1097,100,,1
1971,Qtr 1,March,14,United States,11304,AW00011304,100,Julia Garcia,Julia,Female,Garcia,,76,100,1,
1971,Qtr 1,March,14,United States,26346,AW00026346,,Emmanuel Suri,Emmanuel,Male,Suri,100,88,100,,1
1971,Qtr 1,March,14,United States,28355,AW00028355,,Carlos James,Carlos,Male,James,100,1407,,,1
1971,Qtr 1,March,14,United States,29153,AW00029153,,Pedro Arun,Pedro,Male,Arun,100,3,,,1
1971,Qtr 1,March,18,France,18008,AW00018008,100,Deanna Sai,Deanna,Female,Sai,,1253,100,1,
1971,Qtr 1,March,18,Germany,24099,AW00024099,100,Sarah Smith,Sarah,Female,Smith,,210,100,1,
1971,Qtr 1,March,18,United Kingdom,20904,AW00020904,100,Ebony Gomez,Ebony,Female,Gomez,,91,100,1,
1971,Qtr 1,March,18,United States,13913,AW00013913,100,Angela Rogers,Angela,Female,Rogers,,137,100,1,
1971,Qtr 1,March,18,United States,22274,AW00022274,,Adam Chen,Adam,Male,Chen,100,265,100,,1
1971,Qtr 1,March,19,Australia,21181,AW00021181,100,Summer Sullivan,Summer,Female,Sullivan,,20,100,1,
1971,Qtr 1,March,19,Australia,28715,AW00028715,100,Maria Foster,Maria,Female,Foster,,274,100,1,
1971,Qtr 1,March,21,Australia,24372,AW00024372,100,Teresa Jimenez,Teresa,Female,Jimenez,,2762,100,1,
1971,Qtr 1,March,21,Germany,15049,AW00015049,,Frank Dominguez,Frank,Male,Dominguez,100,68,100,,1
1971,Qtr 1,March,21,n/a,21322,AW00021322,,Carlos Ramirez,Carlos,Male,Ramirez,100,9,100,,1
1971,Qtr 1,March,21,United States,15987,AW00015987,100,Nicole Kelly,Nicole,Female,Kelly,,1080,100,1,
1971,Qtr 1,March,22,France,22654,AW00022654,,Orlando Romero,Orlando,Male,Romero,100,210,100,,1
1971,Qtr 1,March,23,United States,18590,AW00018590,100,Valerie Sun,Valerie,Female,Sun,,98,100,1,
1971,Qtr 1,March,24,Australia,13012,AW00013012,100,Krystal Hu,Krystal,Female,Hu,,5332,100,1,
1971,Qtr 1,March,24,France,16289,AW00016289,100,Julie Pal,Julie,Female,Pal,,1999,100,1,
1971,Qtr 1,March,24,France,26369,AW00026369,100,Kate Nath,Kate,Female,Nath,,12,,1,
1971,Qtr 1,March,24,United States,19714,AW00019714,100,Angela Price,Angela,Female,Price,,254,100,1,
1971,Qtr 1,March,24,United States,25156,AW00025156,100,Catherine Peterson,Catherine,Female,Peterson,,24,100,1,
1971,Qtr 1,March,25,Australia,18715,AW00018715,,Rafael Rai,Rafael,Male,Rai,100,103,100,,1
1971,Qtr 1,March,25,Canada,14605,AW00014605,100,Allison Brooks,Allison,Female,Brooks,,3372,100,1,
1971,Qtr 1,March,25,Canada,27756,AW00027756,100,Angela Ward,Angela,Female,Ward,,44,,1,
1971,Qtr 1,March,26,France,11583,AW00011583,100,Karla Xu,Karla,Female,Xu,,4293,100,1,
1971,Qtr 1,March,26,United States,20475,AW00020475,,Blake Martinez,Blake,Male,Martinez,100,9,100,,1
1971,Qtr 1,March,26,United States,28361,AW00028361,100,Kayla Wilson,Kayla,Female,Wilson,,12,100,1,
